Serial Number of system during year,Basin of origin,Name,Date(DD-MM-YYYY),Time (UTC),Latitude (lat),longitude  (Long),"CI No [or ""T. No""]","Estimated Central Pressure (hPa) [or ""E.C.P""]",Maximum Sustained Surface Wind (kt) ,"Pressure Drop (hPa)[or ""delta P""]",Grade (text),Outermost closed isobar (hPa),Diameter/Size of outermost closed isobar(in degree)
1,BOB,--,04-01-2014,300,8.5,83.5,1.5,1006,25,3,D,,
1,BOB,--,04-01-2014,600,9,83,1.5,1006,25,3,D,,
1,BOB,--,04-01-2014,1200,9,83,1.5,1006,25,3,D,,
1,BOB,--,04-01-2014,1800,9.2,82.5,1.5,1006,25,3,D,,
1,BOB,--,05-01-2014,0,9.3,82,1.5,1006,25,3,D,,
1,BOB,--,05-01-2014,300,9.3,82,1.5,1006,25,3,D,,
1,BOB,--,05-01-2014,600,9.3,81.8,1.5,1006,25,3,D,,
1,BOB,--,05-01-2014,1200,9.3,81.5,1.5,1004,25,4,D,,
1,BOB,--,05-01-2014,1800,9.3,81.3,1.5,1004,25,4,D,,
1,BOB,--,06-01-2014,0,9.3,81.3,1.5,1004,25,4,D,,
1,BOB,--,06-01-2014,300,9.4,81,1.5,1006,25,4,D,,
1,BOB,--,06-01-2014,600,9,80.7,Crossed Sri-Lanka coast near Lat. 9.2° N Long. 80.8° E between 0500 and 0600 UTC of 6th January 2014,,,,,,
1,BOB,--,06-01-2014,1200,8.8,80.6,-,1006,25,3,D,,
1,BOB,--,07-01-2014,0,8,80,-,1006,25,3,D,,
1,BOB,--,07-01-2014,300,Weakened into a well-marked low pressure area over Sri Lanka and adjoining Gulf of Mannar.,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2,BOB,--,21-05-2014,300,15.5,90.5,1.5,1004,25,3,D,,
2,BOB,--,21-05-2014,600,16,90.5,1.5,1004,25,3,D,,
2,BOB,--,21-05-2014,1200,16.5,91,1.5,1002,25,4,D,,
2,BOB,--,21-05-2014,1800,16.5,91,1.5,1002,25,3,D,,
2,BOB,--,22-05-2014,0,16.5,92,1.5,1000,25,3,D,,
2,BOB,--,22-05-2014,300,16.5,92,1.5,1000,25,3,D,,
2,BOB,--,22-05-2014,600,17,92.5,1.5,1000,25,3,D,,
2,BOB,--,22-05-2014,1200,17.5,92,1.5,1000,25,4,D,,
2,BOB,--,22-05-2014,1800,17.5,92,1.5,1000,25,4,D,,
2,BOB,--,23-05-2014,0,17,91,1.5,1000,25,4,D,,
2,BOB,--,23-05-2014,300,Weakened into a well-marked low pressure area over Bay of Bengal,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3,AS,NANAUK,10-06-2014,900,15.5,68.5,1.5,998,25,3,D,,
3,AS,NANAUK,10-06-2014,1200,16,68,1.5,996,25,3,D,,
3,AS,NANAUK,10-06-2014,1800,16.5,67.5,2,994,30,5,DD,,
