Serial Number of system during year,Basin of origin,Name,Date(DD-MM-YYYY),Time (UTC),Latitude (lat),longitude  (Long),"CI No [or ""T. No""]","Estimated Central Pressure (hPa) [or ""E.C.P""]",Maximum Sustained Surface Wind (kt) ,"Pressure Drop (hPa)[or ""delta P""]",Grade (text),Outermost closed isobar (hPa),Diameter/Size of outermost closed isobar(in degree),
,,,,,,,,,,,,,,
1,BOB,ROANU,17-05-2016,0300,11.0,81.0,1.5,1000,25,3,D,,,
1,BOB,ROANU,17-05-2016,0600,11.3,80.9,1.5,999,25,3,D,,,
1,BOB,ROANU,17-05-2016,1200,12.0,80.7,1.5,998,25,3,D,,,
1,BOB,ROANU,17-05-2016,1800,12.5,80.7,1.5,998,25,4,D,,,
1,BOB,ROANU,18-05-2016,0000,13.0,80.8,1.5,998,25,4,D,,,
1,BOB,ROANU,18-05-2016,0300,13.3,81.0,2.0,997,30,5,DD,,,
1,BOB,ROANU,18-05-2016,0600,13.8,81.0,2.0,996,30,5,DD,,,
1,BOB,ROANU,18-05-2016,1200,14.4,81.0,2.0,996,30,5,DD,,,
1,BOB,ROANU,18-05-2016,1800,14.4,81.0,2.0,994,30,7,DD,,,
1,BOB,ROANU,19-05-2016,0000,15.1,81.4,2.5,990,35,7,CS,,,
1,BOB,ROANU,19-05-2016,0300,15.6,81.6,2.5,990,35,8,CS,,,
1,BOB,ROANU,19-05-2016,0600,15.6,81.6,2.5,988,40,8,CS,,,
1,BOB,ROANU,19-05-2016,1200,16.0,81.9,2.5,988,40,8,CS,,,
1,BOB,ROANU,19-05-2016,1500,16.2,82.2,2.5,988,40,8,CS,,,
1,BOB,ROANU,19-05-2016,1800,16.4,82.6,2.5,988,40,8,CS,,,
1,BOB,ROANU,19-05-2016,2100,16.8,82.8,2.5,988,40,8,CS,,,
1,BOB,ROANU,20-05-2016,0000,17.2,83.3,2.5,988,40,8,CS,,,
1,BOB,ROANU,20-05-2016,0300,18.0,84.2,2.5,988,40,8,CS,,,
1,BOB,ROANU,20-05-2016,0600,18.4,84.6,2.5,988,40,9,CS,,,
1,BOB,ROANU,20-05-2016,0900,18.8,85.0,2.5,988,40,9,CS,,,
1,BOB,ROANU,20-05-2016,1200,19.7,86.5,2.5,988,40,9,CS,,,
1,BOB,ROANU,20-05-2016,1500,20.1,87.1,2.5,986,40,9,CS,,,
1,BOB,ROANU,20-05-2016,1800,20.4,87.7,2.5,984,45,11,CS,,,
1,BOB,ROANU,20-05-2016,2100,20.7,88.4,2.5,983,45,11,CS,,,
1,BOB,ROANU,21-05-2016,0000,21.0,89.0,3.0,983,45,11,CS,,,
1,BOB,ROANU,21-05-2016,0300,21.5,90.3,3.0,983,45,11,CS,,,
1,BOB,ROANU,21-05-2016,0600,21.9,91.0,3.0,983,45,11,CS,,,
1,BOB,ROANU,21-05-2016,0900,22.5,91.5,3.0,983,45,11,CS,,,
1,BOB,,21-05-2016,,The system crossed southeast coast of Bangladesh near lat. 22.6 N and long. 91.6 E around 1000 UTC,,,,,,,,,
1,BOB,ROANU,21-05-2016,1200,22.8,92.0,,990,35,6,CS,,,
1,BOB,ROANU,21-05-2016,1500,23.5,93.0,,992,30,4,DD,,,
1,BOB,ROANU,21-05-2016,1800,24.0,94.0,,994,30,4,DD,,,
