Serial Number of system during year,Basin of origin,Name,Date(DD-MM-YYYY),Time (UTC),Latitude (lat),longitude  (Long),"CI No [or ""T. No""]","Estimated Central Pressure (hPa) [or ""E.C.P""]",Maximum Sustained Surface Wind (kt) ,"Pressure Drop (hPa)[or ""delta P""]",Grade (text),Outermost closed isobar (hPa),Diameter/Size of outermost closed isobar(in degree),,
,,,,,,,,,,,,,,,
1,BOB,MAARUTHA,15-04-2017,0000,12,88,1.5,1001,25,3,D,,,,
1,BOB,MAARUTHA,15-04-2017,0300,12.5,88.3,1.5,1001,25,3,D,,,,
1,BOB,MAARUTHA,15-04-2017,0600,13.2,89,1.5,1000,25,4,D,,,,
1,BOB,MAARUTHA,15-04-2017,0900,13.7,89.5,2,999,30,5,DD,,,,
1,BOB,MAARUTHA,15-04-2017,1200,14.3,90.1,2,999,30,5,DD,,,,
1,BOB,MAARUTHA,15-04-2017,1800,15.3,91,2.5,998,35,6,CS,,,,
1,BOB,MAARUTHA,15-04-2017,2100,15.5,91.2,2.5,996,40,8,CS,,,,
1,BOB,MAARUTHA,16-04-2017,0000,16.2,92,2.5,996,40,8,CS,,,,
1,BOB,MAARUTHA,16-04-2017,0300,16.7,92.5,2.5,996,40,8,CS,,,,
1,BOB,MAARUTHA,16-04-2017,0600,17,92.9,2.5,996,40,8,CS,,,,
1,BOB,MAARUTHA,16-04-2017,0900,17.5,93.2,2.5,996,40,8,CS,,,,
1,BOB,MAARUTHA,16-04-2017,1200,17.8,93.6,2.5,996,40,8,CS,,,,
1,BOB,MAARUTHA,16-04-2017,1500,18.1,93.9,2.5,996,40,8,CS,,,,
1,BOB,MAARUTHA,16-04-2017,1800,18.4,94.3,2.5,996,40,8,CS,,,,
1,BOB,,,,Crossed Myanmar coast near Sandoway (Thandwe) during 1800-1900 UTC,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,BOB,MAARUTHA,16-04-2017,2100,19,95,-,1000,30,5,DD,,,,
1,BOB,MAARUTHA,17-04-2017,0000,19.5,95.5,-,1002,20,3,D,,,,
1,BOB,MAARUTHA,17-04-2017,0300,Well Marked Low Pressure Area over central Myanmar and neighbourhood,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2,BOB,MORA,28-05-2017,0000,14,88.5,1.5,998,25,3,D,,,,
2,BOB,MORA,28-05-2017,0300,14.5,89.5,1.5,998,25,3,D,,,,
2,BOB,MORA,28-05-2017,0600,15,90,1.5,997,25,3,D,,,,
2,BOB,MORA,28-05-2017,0900,15.4,90.5,2,996,30,4,DD,,,,
2,BOB,MORA,28-05-2017,1200,15.7,90.7,2,995,30,5,DD,,,,
2,BOB,MORA,28-05-2017,1500,16,91,2.5,994,35,6,CS,,,,
2,BOB,MORA,28-05-2017,1800,16.3,91.2,2.5,994,35,6,CS,,,,
2,BOB,MORA,28-05-2017,2100,16.6,91.3,2.5,992,40,8,CS,,,,
2,BOB,MORA,29-05-2017,0000,17,91.3,3,990,45,10,CS,,,,
2,BOB,MORA,29-05-2017,0300,17.3,91.3,3,990,45,10,CS,,,,
2,BOB,MORA,29-05-2017,0600,17.8,91.4,3,988,45,10,CS,,,,
2,BOB,MORA,29-05-2017,0900,18.3,91.5,3,986,45,11,CS,,,,
2,BOB,MORA,29-05-2017,1200,18.6,91.5,3,984,50,12,SCS,,,,
2,BOB,MORA,29-05-2017,1500,18.8,91.5,3.5,980,55,16,SCS,,,,
2,BOB,MORA,29-05-2017,1800,20,91.6,3.5,980,55,16,SCS,,,,
2,BOB,MORA,29-05-2017,2100,20.3,91.6,3.5,978,60,18,SCS,,,,
2,BOB,MORA,30-05-2017,0000,21.1,91.8,3.5,978,60,18,SCS,,,,
2,BOB,MORA,30-05-2017,0300,21.8,91.9,3.5,978,60,18,SCS,,,,
2,BOB,MORA,30-05-2017,Crossed Bangladesh coast close to south of Chittagong near 22. 00N/91.90E during 0400-0500 UTC,,,,,,,,,,,
2,BOB,MORA,30-05-2017,,,,,,,,,,,,
2,BOB,MORA,30-05-2017,0600,22.8,91.9,-,982,55,16,SCS,,,,
2,BOB,MORA,30-05-2017,0900,23.6,92.1,-,988,40,10,CS,,,,
2,BOB,MORA,30-05-2017,1200,24.2,92.2,-,990,30,6,DD,,,,
2,BOB,MORA,30-05-2017,1800,25.3,92.4,-,994,20,4,D,,,,
2,BOB,MORA,31-05-2017,0000,Weakened into a well marked low pressure area over Nagaland & neighbourhood,,,,,,,,,,
,,,,,,,,,,,,,,,
3,BOB,,11-06-2017,1200,20.5,89.5,1.5,990,25,4,D,,,,
3,BOB,,11-06-2017,1800,21.5,90,2,988,25,6,DD,,,,
3,BOB,,11-06-2017,Crossed Bangladesh coast  near Khepupara between 2300 UTC of 11th and 0000 UTC of 12th,,,,,,,,,,,
3,BOB,,11-06-2017,,,,,,,,,,,,
3,BOB,,12-06-2017,0000,22.5,90.5,-,988,30,6,DD,,,,
3,BOB,,12-06-2017,0300,23,90.5,-,990,30,5,DD,,,,
3,BOB,,12-06-2017,0600,23.5,90.7,-,990,30,5,DD,,,,
3,BOB,,12-06-2017,1200,24,91,-,990,30,5,DD,,,,
3,BOB,,12-06-2017,1800,24.5,91.5,-,995,25,3,D,,,,
3,BOB,,13-06-2017,0000,Weakened into a well marked low pressure area over Nagaland & neighbourhood,,,,,,,,,,
3,BOB,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
4,BOB,,18-07-2017,0000,19,86,1.5,992,25,4,D,,,,
4,BOB,,18-07-2017,0300,19,86,1.5,992,25,4,D,,,,
4,BOB,,18-07-2017,0600,19.5,85.5,1.5,992,25,4,D,,,,
4,BOB,,18-07-2017,1200,19.9,85.3,1.5,992,25,4,D,,,,
4,BOB,,18-07-2017,Crossed  South Odisha coast close to south of Puri around 1500 UTC of 18th ,,,,,,,,,,,
4,BOB,,18-07-2017,,,,,,,,,,,,
4,BOB,,18-07-2017,1800,19.9,85.3,-,994,25,3,D,,,,
4,BOB,,19-07-2017,0000,20.1,85.2,-,994,25,3,D,,,,
4,BOB,,19-07-2017,0300,Weakened into a Well-marked low pressure area over interior Odisha and neighbourhood,,,,,,,,,,
4,BOB,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
5,LAND,,26-07-2017,0000,24.0º,85.0º ,-,993,25,3,D,,,,
5,LAND,,26-07-2017,0300,24.0º,85.0º ,-,994,25,3,D,,,,
5,LAND,,26-07-2017,0600,24.0º,85.0º ,-,994,25,3,       D,,,,
5,LAND,,26-07-2017,1200,24.0º,85.0º ,-,994,20,3,D,,,,
5,LAND,,26-07-2017,1800,24.0º,85.0º ,-,995,20,3,D,,,,
5,LAND,,27-07-2017,0000,24.0º,85.0º ,-,995,20,3,D,,,,
5,LAND,,27-07-2017,0300,Weakened into a well marked low pressure area over northeast Madhya Pradesh & neighbourhood ,,,,,,,,,,
5,LAND,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
6,BOB,,10-09-2017,0000,22.4,88.4,1.5,996,25,4,D,,,,
6,BOB,,10-09-2017,0300,22.5,88.4,-,996,30,5,DD,,,,
6,BOB,,10-09-2017,0600,22.6,88.3,-,996,30,5,DD,,,,
6,BOB,,10-09-2017,1200,22.9,88.1,-,997,30,5,DD,,,,
6,BOB,,10-09-2017,1800,23.1,87.8,-,997,30,5,DD,,,,
6,BOB,,10-10-2017,0000,23.2,87.1,-,998,30,5,DD,,,,
6,BOB,,10-10-2017,0300,23.5,86.7,-,1000,30,5,DD,,,,
6,BOB,,10-10-2017,0600,23.8,86.6,-,1000,25,3,D,,,,
6,BOB,,10-10-2017,1200,Depression weakened into a low pressure area over the Jharkhand & adjoining West Bengal at 1200 UTC ,,,,,,,,,,
6,BOB,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7,BOB,,19-10-2017,0000,16.5,86.5,1.5,999,25,3,D,,,,
7,BOB,,19-10-2017,0300,16.8,86.5,1.5,998,25,4,D,,,,
7,BOB,,19-10-2017,0600,17.3,86.3,1.5,998,25,4,D,,,,
7,BOB,,19-10-2017,1200,20,86.5,1.5,998,25,4,D,,,,
7,BOB,,19-10-2017,Crossed Odisha coast close to Paradip around 1400-1500 UTC of 19th ,,,,,,,,,,,
7,BOB,,19-10-2017,1800,20.3,,-,998,25,4,D,,,,
7,BOB,,20-10-2017,0000,20.8,,-,998,25,4,D,,,,
7,BOB,,20-10-2017,0300,21,,-,998,25,4,D,,,,
7,BOB,,20-10-2017,0600,21.5,,-,998,25,4,       D,,,,
7,BOB,,20-10-2017,1200,22.2,,-,998,25,4,D,,,,
7,BOB,,20-10-2017,1800,22.8,,-,998,25,4,D,,,,
7,BOB,,21-10-2017,0000,23,,-,997,25,4,D,,,,
7,BOB,,21-10-2017,0300,24,,-,997,25,4,D,,,,
7,BOB,,21-10-2017,0600,24.2,,-,997,25,4,       D,,,,
7,BOB,,21-10-2017,1200,24.2,,-,997,20,4,D,,,,
7,BOB,,21-10-2017,1800,24.3,,-,998,20,3,D,,,,
7,BOB,,,Weakened  into a well marked low pressure area over northeast Bangladesh and adjoining Meghalaya & south Assam at 0000 UTC of 22nd ,,,,,,,,,,,
7,BOB,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8,BOB,,15-11-2017,0300,15.0/83.0,,1.5,1004,25,4,D,,,,
8,BOB,,15-11-2017,0600,15.5/83.0,,1.5,1004,25,4,D,,,,
8,BOB,,15-11-2017,1200,16.2/83.3,,1.5,1001,25,4,D,,,,
8,BOB,,15-11-2017,1800,17.0/83.8,,1.5,1002,25,4,D,,,,
8,BOB,,16-11-2017,0000,17.5/84.1,,1.5,1004,25,4,D,,,,
8,BOB,,16-11-2017,0300,17.7/84.3,,1.5,1004,25,4,D,,,,
8,BOB,,16-11-2017,0600,17.7/84.3,,1.5,1004,25,4,D,,,,
8,BOB,,16-11-2017,1200,18.1/85.0,,1.5,1004,25,4,D,,,,
8,BOB,,16-11-2017,1800,18.5/85.5,,1.5,1004,25,4,D,,,,
8,BOB,,17-11-2017,0000,18.8/85.8,,1.5,1004,25,4,D,,,,
8,BOB,,17-11-2017,0300,19.5/86.3,,1.5,1006,25,4,D,,,,
8,BOB,,,Weakened into a well marked low pressure area over northwest Bay of Bengal off north Odisha-West Bengal coasts at 0600 UTC,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
9,BOB,OCKHI,29-11-2017,0300,6.5,81.8,1.5,1004,25,3,D,,,,
9,BOB,OCKHI,29-11-2017,0600,6.5,80.4,1.5,1004,25,4,D,,,,
9,BOB,OCKHI,29-11-2017,1200,6.2,80,1.5,1002,25,4,D,,,,
9,BOB,OCKHI,29-11-2017,1800,6.3,79.2,1.5,1002,25,4,D,,,,
9,BOB,OCKHI,29-11-2017,2100,6.5,78.6,2,1001,30,5,DD,,,,
9,BOB,OCKHI,30-11-2017,0000,6.7,78.3,2,1000,30,6,DD,,,,
