Serial Number of system during year,Basin of origin,Name,Date(DD-MM-YYYY),Time (UTC),Latitude (lat),longitude  (Long),"CI No [or ""T. No""]","Estimated Central Pressure (hPa) [or ""E.C.P""]",Maximum Sustained Surface Wind (kt) ,"Pressure Drop (hPa)[or ""delta P""]",Grade (text),Outermost closed isobar (hPa),Diameter/Size of outermost closed isobar(in degree),,,,,,,
1,AS,,13-03-2018,0300,5.0,76.0,1.0,1006,25,3,D,,,,,,,,,
,AS,,13-03-2018,0600,5.5,75.8,1.5,1006,25,3,D,,,,,,,,,
,AS,,13-03-2018,1200,6.5,75.0,1.5,1006,25,3,D,,,,,,,,,
,AS,,13-03-2018,1800,6.7,74.8,1.5,1006,25,3,D,,,,,,,,,
,AS,,14-03-2018,0000,7.0,74.5,1.5,1006,25,3,D,,,,,,,,,
,AS,,14-03-2018,0300,7.5,74.0,1.5,1006,25,3,D,,,,,,,,,
,AS,,14-03-2018,0600,8.0,73.5,1.5,1006,25,3,D,,,,,,,,,
,AS,,14-03-2018,1200,8.7,72.8,1.5,1006,25,3,D,,,,,,,,,
,AS,,14-03-2018,1800,9.1,72.5,1.5,1006,25,3,D,,,,,,,,,
,AS,,15-03-2018,0000,Weakened into a Well-marked low pressure area over  Lakshadweep and adjoining southeast Arabian Sea,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,AS,SAGAR,16-05-2018,1200,13.0,50.0,1.5,1001,25,3,D,,,,,,,,,
,AS,SAGAR,16-05-2018,1800,13.2,49.6,1.5,1001,30,4,D,,,,,,,,,
,AS,SAGAR,17-05-2018,0000,13.2,49.0,2.5,999,30,5,DD,,,,,,,,,
,AS,SAGAR,17-05-2018,0300,13.2,48.7,2.5,997,35,7,CS,,,,,,,,,
,AS,SAGAR,17-05-2018,0600,13.0,48.4,2.5,997,35,7,CS,,,,,,,,,
,AS,SAGAR,17-05-2018,0900,13.0,48.3,2.5,997,35,7,CS,,,,,,,,,
,AS,SAGAR,17-05-2018,1200,13.0,48.1,2.5,996,40,8,CS,,,,,,,,,
,AS,SAGAR,17-05-2018,1500,13.0,47.8,2.5,996,40,8,CS,,,,,,,,,
,AS,SAGAR,17-05-2018,1800,12.8,47.5,2.5,996,40,8,CS,,,,,,,,,
,AS,SAGAR,17-05-2018,2100,12.7,47.2,2.5,996,40,8,CS,,,,,,,,,
,AS,SAGAR,18-05-2018,0000,12.4,46.6,3.0,996,45,10,CS,,,,,,,,,
,AS,SAGAR,18-05-2018,0300,12.2,46.3,3.0,994,45,10,CS,,,,,,,,,
,AS,SAGAR,18-05-2018,0600,12.0,46.0,3.0,994,45,10,CS,,,,,,,,,
,AS,SAGAR,18-05-2018,0900,11.8,45.6,3.0,994,45,10,CS,,,,,,,,,
,AS,SAGAR,18-05-2018,1200,11.6,45.5,3.0,994,45,10,CS,,,,,,,,,
,AS,SAGAR,18-05-2018,1500,11.4,45.3,3.0,994,45,10,CS,,,,,,,,,
,AS,SAGAR,18-05-2018,1800,11.3,45.1,3.0,994,45,10,CS,,,,,,,,,
,AS,SAGAR,18-05-2018,2100,11.2,45.0,3.0,994,45,10,CS,,,,,,,,,
,AS,SAGAR,19-05-2018,0000,11.1,44.8,3.0,994,45,10,CS,,,,,,,,,
,AS,SAGAR,19-05-2018,0300,10.9,44.4,3.0,994,45,10,CS,,,,,,,,,
,AS,SAGAR,19-05-2018,0600,10.8,44.1,3.0,996,40,8,CS,,,,,,,,,
