Serial Number of system during year,Basin of origin,Name,Date(DD/MM/YYYY),Time (UTC),Latitude (lat),longitude  (Long),"CI No [or ""T. No""]","Estimated Central Pressure (hPa) [or ""E.C.P""]",Maximum Sustained Surface Wind (kt) ,"Pressure Drop (hPa)[or ""delta P""]",Grade (text),Outermost closed isobar (hPa),Diameter/Size of outermost closed isobar(in degree),,,,,,,,,,,,,,,,,,,
1,BOB,,30-01-2023,0300,7.7,87.2,1.5,1004,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,0600,7.9,86.6,1.5,1004,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,1200,8.0,86.0,1.5,1004,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,1800,8.1,85.3,1.5,1004,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,31-01-2023,0000,8.2,84.8,1.5,1004,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,0300,8.4,84.3,1.5,1004,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,0600,8.6,83.9,1.5,1004,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,1200,8.6,83.5,1.5,1004,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,1800,8.3,82.9,1.5,1004,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,01-02-2023,0000,8.2,82.7,1.5,1004,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,0300,8.2,82.5,1.5,1004,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,0600,8.2,82.5,1.5,1004,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,1200,8.2,82.3,1.5,1004,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,1800,8.1,82.1,1.5,1004,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,Crossed Sri Lanka coast between Batticaloa and Trincomalee near latitude 7.8°N and longitude 81.6°E during 0330 to 0430 hours IST of the 2nd February as a depression with the estimated maximum sustained wind speed of 25 knots gusting to 35 knots (45-55 kmph gusting to 65 kmph).,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BOB,,02-02-2023,0000,7.6,81.4,-,1004,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,0300,7.2,81.1,-,1004,20,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,0600,6.8,80.8,-,1006,20,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,1200,6.3,80.3,-,1006,20,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,1800,Weakened into a well marked low pressure area over Comorin and adjoining Gulf of Mannar & west coast of Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,BOB,MOCHA,09-05-2023,1200,8.3,89.5,1.5,1002,25,3,D,,,,,,,,,,,,,,,,,,,,,
,BOB,MOCHA,,1800,8.5,89.3,1.5,1002,25,3,D,,,,,,,,,,,,,,,,,,,,,
,BOB,MOCHA,10-05-2023,0000,8.5,89.0,2.0,1000,30,4,DD,,,,,,,,,,,,,,,,,,,,,
