Serial Number of system during year,Basin of origin,Name,Date(DD/MM/YYYY),Time (UTC),Latitude (lat),longitude  (Long),"CI No [or ""T. No""]","Estimated Central Pressure (hPa) [or ""E.C.P""]",Maximum Sustained Surface Wind (kt) ,"Pressure Drop (hPa)[or ""delta P""]",Grade (text),Outermost closed isobar (hPa),Diameter/Size of outermost closed isobar(in degree),
1,BOB,REMAL,24-05-2024,0000,15.0,88.4,1.5,996,25,3,D,,,
,BOB,REMAL,,0300,15.5,88.7,1.5,996,25,3,D,,,
,BOB,REMAL,,0600,15.8,88.9,1.5,996,25,3,D,,,
,BOB,REMAL,,1200,16.2,89.1,1.5,995,25,3,D,,,
,BOB,REMAL,,1800,16.8,89.4,1.5,995,25,3,D,,,
,BOB,REMAL,25-05-2024,0000,17.6,89.7,2.0,993,30,4,DD,,,
,BOB,REMAL,,0300,18.0,89.7,2.0,992,30,5,DD,,,
,BOB,REMAL,,0600,18.2,89.7,2.0,991,30,5,DD,,,
,BOB,REMAL,,1200,18.8,89.5,2.5,989,35,7,CS,,,
,BOB,REMAL,,1500,19.1,89.5,2.5,989,35,7,CS,,,
,BOB,REMAL,,1800,19.3,89.4,2.5,988,40,8,CS,,,
,BOB,REMAL,,2100,19.4,89.4,2.5,986,45,10,CS,,,
,BOB,REMAL,26-05-2024,0000,19.5,89.4,3.0,984,50,12,SCS,,,
,BOB,REMAL,,0300,19.8,89.3,3.0,984,50,12,SCS,,,
,BOB,REMAL,,0600,20.2,89.2,3.5,983,50,13,SCS,,,
,BOB,REMAL,,0900,20.6,89.2,3.5,981,55,15,SCS,,,
,BOB,REMAL,,1200,21.1,89.2,3.5,978,60,18,SCS,,,
,BOB,REMAL,,1500,21.4,89.2,3.5,978,60,18,SCS,,,
,BOB,REMAL,,1800,21.7,89.2,3.5,978,60,18,SCS,,,
,BOB,REMAL,,,Crossed the Bangladesh & adjoining West Bengal coasts between Sagar  islands and Khepupara close to southwest of Mongla near latitude 21.75°N and longitude 89.20°E between 2330 hours IST/1800 UTC of 26th and 0030 hours IST/1900 UTC of 27th May 2024.,,,,,,,,,
,BOB,REMAL,,2100,22.0,89.2,-,980,55,16,SCS,,,
,BOB,REMAL,27-05-2024,0000,22.5,89.2,-,982,45,12,CS,,,
,BOB,REMAL,,0300,22.8,89.2,-,984,40,10,CS,,,
,BOB,REMAL,,0600,23.0,89.2,-,985,35,9,CS,,,
,BOB,REMAL,,0900,23.3,89.4,-,986,35,8,CS,,,
,BOB,REMAL,,1200,23.6,89.7,-,987,35,7,CS,,,
,BOB,REMAL,,1500,23.8,90.2,-,988,30,6,DD,,,
,BOB,REMAL,,1800,24.0,90.5,-,990,30,5,DD,,,
,BOB,REMAL,28-05-2024,0000,24.4,91.1,-,991,20,4,D,,,
,BOB,REMAL,,0300,24.7,91.5,-,992,20,3,D,,,
,BOB,REMAL,,0600,25.1,91.8,-,993,20,3,D,,,
,BOB,REMAL,,1200,Weakened into a well-marked low-pressure area over Northeast Assam and neighbourhood,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,BOB,,19-07-2024,0300,19.1,86.2,1.5,992,25,3,D,,,
,BOB,,,0600,19.2,86.0,1.5,992,25,3,D,,,
,BOB,,,1200,19.4,85.7,1.5,990,25,4,D,,,
,BOB,,,1800,19.5,85.6,1.5,990,25,4,D,,,
,BOB,,20-07-2024,0000,19.6,85.5,1.5,991,25,4,D,,,
,BOB,,,0300,19.6,85.5,1.5,992,25,3,D,,,
,,,,,,Crossed Odisha coast near Chilika during 0830-0930 IST,,,,,,,,
,BOB,,,0600,19.7,85.4,1.5,992,25,3,D,,,
,BOB,,,1200, Weakened into a Well-Marked Low-Pressure Area over Coastal Odisha,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3,Land,,02-08-2024,1200,24.2,85.2,-,992,20,3,D,,,
,Land,,,1800,24.2,84.9,-,992,20,3,D,,,
,Land,,03-08-2024,0000,24.3,84.6,-,991,25,4,D,,,
,Land,,,0300,24.4,84.4,-,990,30,5,DD,,,
,Land,,,0600,24.5,84.2,-,988,30,6,DD,,,
,Land,,,1200,24.8,83.0,-,988,30,6,DD,,,
